order_id,user_id,item_id,quantity,order_date
1,889,97,9,2025-02-26
2,5928,319,8,2024-09-18
3,7243,390,1,2025-04-02
4,3336,137,9,2024-02-28
5,2147,475,5,2023-10-06
6,7179,451,8,2024-02-06
7,1990,15,10,2024-06-18
8,3921,364,3,2024-02-05
9,5092,283,1,2024-10-28
10,9049,209,2,2023-08-23
11,3682,431,2,2024-02-16
12,7561,485,2,2023-10-12
13,2523,256,5,2024-05-25
14,8338,362,5,2024-07-05
15,6808,428,8,2023-10-04
16,7737,125,8,2023-11-07
17,9032,75,7,2024-10-05
18,3123,472,10,2023-12-23
19,8328,383,3,2023-11-20
20,1144,142,7,2023-10-10
21,5569,479,9,2024-06-21
22,4378,421,1,2025-02-06
23,4635,372,5,2024-09-11
24,9617,297,8,2024-09-30
25,2435,229,9,2024-06-22
26,7936,177,6,2023-11-05
27,9043,391,9,2024-06-16
28,6181,234,6,2025-04-23
29,3091,358,4,2025-01-15
30,9369,197,4,2025-01-04
31,6731,23,6,2023-08-27
32,7750,362,7,2023-10-10
33,6326,340,3,2024-03-22
34,8116,494,1,2024-01-28
35,2069,258,10,2023-09-04
36,5440,446,2,2023-12-19
37,7214,52,9,2024-10-13
38,7487,8,3,2023-11-25
39,6718,446,3,2023-06-01
40,1226,241,5,2024-09-29
41,5547,320,7,2024-02-17
42,1316,437,6,2023-08-09
43,8743,195,6,2023-12-17
44,7995,447,9,2025-03-30
45,589,317,2,2024-09-12
46,3847,324,5,2024-01-01
47,3728,383,2,2023-07-13
48,7111,51,2,2024-01-14
49,7270,86,5,2025-01-01
50,475,24,6,2024-08-15
51,920,151,6,2025-04-22
52,6142,221,3,2023-06-13
53,4001,272,7,2024-10-29
54,9273,350,3,2024-02-29
55,2786,90,2,2024-04-02
56,9986,446,7,2024-10-19
57,3946,255,10,2024-10-21
58,2345,119,8,2025-01-26
59,4162,236,5,2023-09-22
60,154,461,8,2025-01-07
61,4713,347,9,2023-11-09
62,2589,38,8,2025-02-26
63,5662,301,5,2023-05-31
64,6952,354,5,2023-05-10
65,7485,433,5,2024-09-20
66,3264,197,8,2024-04-30
67,1748,122,7,2024-10-11
68,9371,184,10,2024-08-07
69,4848,359,5,2024-11-29
70,360,425,7,2023-07-22
71,4498,5,10,2023-07-04
72,804,467,10,2023-10-02
73,8139,427,5,2023-09-01
74,3771,311,6,2023-07-12
75,3589,326,4,2023-07-03
76,4107,348,3,2024-08-06
77,1592,463,1,2024-03-12
78,5062,404,8,2024-08-27
79,547,297,6,2023-12-11
80,2154,47,5,2023-08-19
81,5353,383,7,2025-01-20
82,2878,103,3,2023-08-20
83,8838,449,6,2025-04-04
84,8698,257,5,2025-01-07
85,2696,132,8,2024-09-13
86,4836,383,6,2024-06-17
87,1887,240,2,2023-11-04
88,2307,387,4,2024-01-19
89,6512,496,9,2024-11-09
90,5993,47,7,2024-10-30
91,229,136,9,2023-08-02
92,2025,233,6,2025-05-01
93,4296,300,7,2024-03-14
94,6087,56,4,2025-03-13
95,7725,13,10,2024-08-10
96,9199,168,10,2024-09-10
97,3627,332,2,2023-05-20
98,7607,466,5,2025-04-16
99,6690,60,3,2025-02-13
100,743,485,1,2024-05-23
101,4987,253,2,2023-05-30
102,1593,121,9,2024-09-07
103,2223,199,8,2024-03-09
104,6079,344,9,2024-07-13
105,6867,301,3,2024-11-14
106,6798,336,2,2024-05-28
107,8018,316,7,2023-06-25
108,4584,17,6,2023-10-01
109,3560,228,8,2024-06-22
