review_id,user_id,item_id,rating,comment,review_date
1,9428,450,5,Total ago moment.,2025-03-31
2,336,153,2,Step stuff traditional sometimes treat.,2024-04-12
3,6955,364,4,Standard common former game.,2024-11-02
4,9109,372,2,Minute mean property themselves tonight last.,2023-05-14
5,934,203,1,Environmental organization which thought top.,2024-10-28
6,7386,432,3,Affect discuss per friend law point defense show.,2024-09-15
7,6594,332,5,Realize sound early affect stuff.,2024-08-07
8,8669,238,5,Beat project left discussion.,2024-01-03
9,6876,443,2,From tough protect film.,2025-01-06
10,6574,226,1,Watch such teacher often recently fine.,2023-12-13
11,7452,77,3,Challenge best word early.,2024-04-21
12,1930,98,2,Message project operation although.,2023-06-20
13,4935,340,3,Line author collection name evidence.,2023-11-03
14,5628,103,4,Leader yourself two year.,2023-09-23
15,6766,29,4,Send early himself network old.,2024-10-26
16,7723,169,3,Old moment industry tree.,2023-11-10
17,6946,464,2,Training several several summer rise work town.,2024-01-23
18,2824,443,5,Eight around consumer economy peace pay.,2023-11-26
19,2905,107,4,Just read space father.,2024-03-01
20,6012,497,2,Discussion letter think big as.,2023-06-22
21,7281,494,4,Best eat upon until first.,2025-03-22
22,7287,389,3,Experience nor leg short.,2024-01-15
23,8606,265,4,Age little page unit nice bad try.,2024-04-10
24,110,222,3,Now but factor tax example appear.,2024-02-04
25,5089,309,1,Determine sometimes individual long about.,2024-02-08
26,3808,85,1,Water adult during right dream ready.,2023-11-08
27,2209,373,2,Population agreement dream walk.,2024-01-09
28,8010,364,3,Mention perhaps cause.,2024-04-07
29,6076,433,5,Guess information spend thought employee scientist general.,2024-11-03
30,7339,201,4,Address stock reduce among establish professor both.,2024-10-01
31,6327,7,1,Front eye training enjoy summer.,2024-09-13
32,7317,452,2,Or return quite control.,2024-12-05
33,1201,315,5,Land laugh employee us.,2024-10-02
34,2516,37,5,Whether hold appear worry lay.,2024-02-07
35,8207,105,5,Structure glass sister result.,2025-01-20
36,7149,405,2,Item measure above.,2023-10-29
37,1413,497,4,Word get charge seek though especially color.,2024-11-27
38,5581,459,4,Well true stock quality option keep drop pretty.,2025-02-09
39,6803,258,5,Technology material simple.,2024-12-28
40,8358,456,5,Join heart by six.,2024-09-03
41,3442,349,2,Station father goal source which.,2023-05-31
42,7330,184,4,Size social rock seven.,2024-09-24
43,6480,321,1,Then response everything anything protect.,2024-12-22
44,1779,270,2,Who door bring artist affect.,2024-11-08
45,1318,348,1,Choice decide church nearly subject should.,2024-11-12
46,5491,316,4,Else number that move.,2023-11-10
47,8308,36,3,Republican car serve plan window mean give.,2024-05-30
48,3638,424,5,Common lay radio every.,2023-07-11
49,2764,191,3,Research garden assume house feeling strong look name.,2024-05-15
50,3683,493,3,Others nor experience memory rate.,2023-07-02
51,6693,401,1,Employee trade back tree once.,2023-09-16
52,7059,303,3,Industry wonder oil mouth.,2024-10-10
53,544,28,3,Dog under require population agent indicate.,2025-04-03
54,4116,417,1,Coach program treatment thank none activity nothing.,2025-02-03
55,2871,173,2,Technology rather Congress bit threat age.,2023-08-16
56,288,157,3,Four language hospital kid key yourself big.,2024-09-11
57,7568,298,3,Ground opportunity indicate white.,2024-07-31
58,7474,337,3,Half institution make arrive rock argue why section.,2023-10-11
59,8279,416,1,Mother hard successful.,2025-02-09
60,6326,481,2,Light remain pull computer painting though.,2024-01-30
61,6489,49,4,Amount hear brother.,2024-02-12
62,2478,496,5,Son democratic color take audience three vote.,2025-01-09
63,6229,431,4,Law force our kid the minute major.,2023-06-17
64,1195,226,5,Call trade often ground whether bring soon.,2025-04-26
65,4220,180,3,Option available bad area student billion.,2024-08-19
66,9862,107,5,Fire edge just.,2023-10-09
67,4968,147,3,Continue president home because show wall look.,2023-07-13
68,7477,245,2,Yet note next public meeting see ahead.,2023-08-26
69,4220,122,2,Goal school explain threat.,2023-12-30
70,5592,140,3,Design plant specific old well cell.,2025-04-24
71,8473,457,3,Few age poor.,2024-07-26
